title,media,date,datetime,desc,link,img
Vigils take place across country in support of Gaza,RTE,1 hour ago,2023-12-31 17:20:51.575360,,https://www.rte.ie/news/dublin/2023/1231/1424257-gaza-protest/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICBAC&usg=AOvVaw3UY_hSfdAB3NvMfXKrUkNs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,2 hours ago,2023-12-31 16:20:51.590217,,https://www.palestinechronicle.com/gaza-live-blog-israel-bombs-two-mosques-in-central-gaza-massacres-in-nuseirat-maghazi-battles-continue-in-khan-younis-ansarallah-hit-more-ships-day-86/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICRAC&usg=AOvVaw2DW5FyL0r7b6afDmZl3E4o,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,3 hours ago,2023-12-31 15:20:51.603177,,https://www.middleeasteye.net/news/john-pilger-veteran-journalist-palestine-supporter-dies&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBBAC&usg=AOvVaw2k_Uu2pcDYn6jyMKpx2bEp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,3 hours ago,2023-12-31 15:20:51.616537,,https://www.youtube.com/watch%3Fv%3D21dsdfvTtwc&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAhAC&usg=AOvVaw118ir-jMF3r8HBCzUkzlIb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,3 hours ago,2023-12-31 15:20:51.629160,,https://www.aljazeera.com/features/2023/12/31/walkout-weapon-british-school-students-battle-curbs-on-gaza-war-protests&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBxAC&usg=AOvVaw1nAlXexVP_5cVGrE8MJhVB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,4 hours ago,2023-12-31 14:20:51.642972,,https://www.iol.co.za/news/south-africa/western-cape/this-is-a-struggle-of-land-occupation-over-300-unite-at-interfaith-vigil-in-solidarity-with-palestine-d317da20-036f-4bf7-b2ce-31ad686d7ccf&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBRAC&usg=AOvVaw1MDDQn_AudImXQgrAVEdp9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli strike kills former Palestinian minister: agency,Arab News,5 hours ago,2023-12-31 13:20:51.656911,,https://www.arabnews.com/node/2434376/middle-east&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIABAC&usg=AOvVaw3ODcVroVWXpMnm2gmb9ByV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,5 hours ago,2023-12-31 13:20:51.669559,,https://www.ynetnews.com/article/s1aztardt&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBhAC&usg=AOvVaw0tYhU8SQhUq4n4HOjocKPc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,6 hours ago,2023-12-31 12:20:51.682978,,https://www.aljazeera.com/news/2023/12/31/pro-palestine-campaigners-call-for-gaza-ceasefire-on-new-years-eve&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIARAC&usg=AOvVaw3-PaGMkgWSDpEySNunQ2Rg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,6 hours ago,2023-12-31 12:20:51.695628,,https://www.middleeasteye.net/news/gaza-war-israel-palestine-netanyahu-control-egypt-border-zone&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAxAC&usg=AOvVaw18DPZ-s3D8dw5sfCWkaCCm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Vigils take place across country in support of Gaza,RTE,1 hour ago,2023-12-31 17:20:51.575360,,https://www.rte.ie/news/dublin/2023/1231/1424257-gaza-protest/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICBAC&usg=AOvVaw3UY_hSfdAB3NvMfXKrUkNs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,2 hours ago,2023-12-31 16:20:51.590217,,https://www.palestinechronicle.com/gaza-live-blog-israel-bombs-two-mosques-in-central-gaza-massacres-in-nuseirat-maghazi-battles-continue-in-khan-younis-ansarallah-hit-more-ships-day-86/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICRAC&usg=AOvVaw2DW5FyL0r7b6afDmZl3E4o,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,3 hours ago,2023-12-31 15:20:51.603177,,https://www.middleeasteye.net/news/john-pilger-veteran-journalist-palestine-supporter-dies&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBBAC&usg=AOvVaw2k_Uu2pcDYn6jyMKpx2bEp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,3 hours ago,2023-12-31 15:20:51.616537,,https://www.youtube.com/watch%3Fv%3D21dsdfvTtwc&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAhAC&usg=AOvVaw118ir-jMF3r8HBCzUkzlIb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,3 hours ago,2023-12-31 15:20:51.629160,,https://www.aljazeera.com/features/2023/12/31/walkout-weapon-british-school-students-battle-curbs-on-gaza-war-protests&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBxAC&usg=AOvVaw1nAlXexVP_5cVGrE8MJhVB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,4 hours ago,2023-12-31 14:20:51.642972,,https://www.iol.co.za/news/south-africa/western-cape/this-is-a-struggle-of-land-occupation-over-300-unite-at-interfaith-vigil-in-solidarity-with-palestine-d317da20-036f-4bf7-b2ce-31ad686d7ccf&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBRAC&usg=AOvVaw1MDDQn_AudImXQgrAVEdp9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli strike kills former Palestinian minister: agency,Arab News,5 hours ago,2023-12-31 13:20:51.656911,,https://www.arabnews.com/node/2434376/middle-east&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIABAC&usg=AOvVaw3ODcVroVWXpMnm2gmb9ByV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,5 hours ago,2023-12-31 13:20:51.669559,,https://www.ynetnews.com/article/s1aztardt&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBhAC&usg=AOvVaw0tYhU8SQhUq4n4HOjocKPc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,6 hours ago,2023-12-31 12:20:51.682978,,https://www.aljazeera.com/news/2023/12/31/pro-palestine-campaigners-call-for-gaza-ceasefire-on-new-years-eve&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIARAC&usg=AOvVaw3-PaGMkgWSDpEySNunQ2Rg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
